time,site,et,hectares,megaliters
2016-05-11,US-Tw3,5.259,2.13,0.112
2016-05-11,US-Twt,1.991,2.125,0.042
2016-05-12,US-Bi1,5.429,2.126,0.115
2016-05-12,US-Bi2,1.668,2.129,0.036
2016-05-12,US-Tw3,5.349,2.13,0.114
2016-05-12,US-Twt,1.973,2.125,0.042
2016-05-13,US-Bi1,4.669,2.126,0.099
2016-05-13,US-Bi2,1.4,2.129,0.03
2016-05-13,US-Tw3,4.609,2.13,0.098
2016-05-13,US-Twt,1.655,2.125,0.035
2016-05-14,US-Bi1,4.828,2.126,0.103
2016-05-14,US-Bi2,1.412,2.129,0.03
2016-05-14,US-Tw3,4.975,2.13,0.106
